Target_genes	CREBBP|Average	SRX359408|293	SRX359409|293	SRX359410|293	SRX359411|293	SRX660077|Adipose-Derived_Mesenchymal_Stem_Cells	SRX660078|Adipose-Derived_Mesenchymal_Stem_Cells	SRX2339191|B-Lymphocytes	SRX2339193|B-Lymphocytes	SRX017698|CD4-Positive_T-Lymphocytes	SRX100258|H3396	SRX100259|H3396	SRX100261|H3396	SRX100262|H3396	SRX100263|H3396	SRX100264|H3396	SRX3324957|IMR-90	SRX3324958|IMR-90	SRX3324959|IMR-90	SRX3324960|IMR-90	SRX015827|Jurkat_(Clone_E6-1)	SRX116429|K-562	SRX186770|K-562	SRX7214024|Keratinocytes	SRX7214025|Keratinocytes	SRX7214026|Keratinocytes	SRX7214027|Keratinocytes	SRX159188|LS-180	SRX159189|LS-180	SRX5839976|Macrophages	SRX5839977|Macrophages	SRX5839978|Macrophages	SRX5839979|Macrophages	SRX5162246|Placenta	SRX5162247|Placenta	SRX5162248|Placenta	SRX018277|T98G	SRX018280|T98G	SRX018281|T98G	STRING
ATP5MC3	136.263158	256	404	169	0	374	219	1506	2167	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF1	135.315789	1048	1237	688	0	0	0	0	200	134	0	0	0	0	0	0	0	0	0	0	138	0	0	311	596	204	287	0	0	112	0	0	0	0	0	0	0	0	187	0
CCDC200	135.236842	662	502	565	0	0	0	186	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	875	711	672	0	0	0	0	0	0	0	0	0	0	0	0	0
CYB561A3	134.263158	280	286	211	0	0	0	1938	1954	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	171	111	0	0	0	0	0	0	0	0	0
PGS1	134.026316	282	272	184	0	289	0	1634	2321	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC3	133.210526	108	0	0	0	0	0	1151	1244	395	0	0	0	0	0	0	0	0	0	0	157	0	0	187	452	130	249	0	0	283	116	84	0	0	0	0	0	0	506	0
KIF3B	132.710526	0	183	0	0	509	400	1584	2367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1A1	132.578947	276	370	340	0	0	0	111	146	236	0	0	0	0	0	0	0	1701	0	1448	0	0	0	0	0	0	0	0	0	132	67	0	96	0	0	0	0	0	115	0
GOLM2	132.236842	116	220	0	0	0	0	282	127	330	0	509	1131	894	360	411	0	0	0	0	385	0	0	0	78	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0
ZNF106	131.500000	0	0	0	0	310	441	1508	2248	221	0	0	0	0	0	0	0	125	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC13D	130.842105	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1367	1935	585	952	0	0	0	0	0	0	0	0	0	0	0	0	0
INTS5	128.000000	565	494	241	0	0	0	334	344	231	0	551	602	815	330	188	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
ERCC1	127.921053	125	158	0	0	0	0	0	113	171	0	102	0	0	0	0	0	0	226	0	88	0	0	1011	1257	756	556	0	0	0	0	0	0	0	0	0	0	0	298	0
C15orf62	126.210526	0	0	0	0	0	0	1242	1646	0	0	0	0	0	0	0	0	0	0	0	246	0	0	445	716	137	364	0	0	0	0	0	0	0	0	0	0	0	0	0
BAIAP2L2	126.078947	0	0	0	0	0	0	0	0	0	0	555	1476	1289	554	488	0	0	0	0	0	0	0	0	98	0	0	130	201	0	0	0	0	0	0	0	0	0	0	0
ELMOD1	125.763158	177	185	0	0	0	0	0	0	0	0	553	1191	1129	771	455	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0
SEPTIN9	125.210526	120	158	0	0	0	0	854	1182	140	0	0	0	0	0	0	0	266	111	0	695	0	0	153	260	0	98	0	0	0	0	0	0	0	0	0	0	228	493	0
GPR137	124.815789	135	158	0	0	0	0	1595	2009	290	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	158	0
H4C15	124.289474	809	566	500	0	90	0	383	421	429	0	0	0	0	0	0	0	0	0	0	291	0	0	0	65	0	0	135	0	416	161	0	0	0	0	0	92	175	190	0
H4C14	124.289474	809	566	500	0	90	0	383	421	429	0	0	0	0	0	0	0	0	0	0	291	0	0	0	65	0	0	135	0	416	161	0	0	0	0	0	92	175	190	0
SESN2	122.763158	459	399	142	0	221	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	748	665	711	994	0	0	0	0	0	0	0	0	0	0	0	146	0
RAPGEF2	122.736842	172	135	0	0	0	0	271	244	0	0	592	689	797	457	299	0	0	0	0	0	0	0	186	317	147	198	0	160	0	0	0	0	0	0	0	0	0	0	0
CMSS1	122.526316	159	311	145	0	0	0	0	0	102	0	583	827	1072	479	342	0	161	0	0	130	0	0	0	165	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0
NFKBIA	122.210526	317	288	0	0	0	0	306	527	176	0	0	0	0	0	0	0	0	0	87	0	0	0	615	894	519	680	0	0	130	105	0	0	0	0	0	0	0	0	0
SNX1	121.105263	173	183	0	0	247	193	1437	2105	180	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNIP4	120.552632	118	117	0	0	0	0	0	0	0	0	643	1077	1184	570	498	0	0	0	0	0	0	0	0	0	0	0	179	195	0	0	0	0	0	0	0	0	0	0	0
RCAN1	120.289474	296	259	0	0	160	102	220	391	0	0	0	0	0	0	0	0	243	0	114	0	0	0	470	461	450	370	0	0	256	0	71	0	0	0	0	0	172	536	0
DCLRE1B	120.078947	216	271	0	0	0	0	1193	1760	246	0	87	0	0	0	0	0	0	0	0	296	0	0	149	180	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0
AP4B1	120.078947	216	271	0	0	0	0	1193	1760	246	0	87	0	0	0	0	0	0	0	0	296	0	0	149	180	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD1	117.921053	201	157	0	0	202	140	1516	2175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA1B	117.657895	1855	1785	349	0	0	0	88	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	120	0	87	0	0	0	0	0	0	0
KRTAP16-1	117.210526	0	0	0	0	0	0	930	615	358	0	0	0	0	0	0	0	0	0	0	2551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL4I1	116.815789	251	280	287	0	0	0	1351	1343	0	0	0	0	0	0	0	0	0	0	0	135	0	0	153	190	0	0	0	0	271	178	0	0	0	0	0	0	0	0	0
KMT5C	116.763158	0	144	0	0	194	183	654	945	126	0	0	0	0	0	0	0	0	0	0	0	0	0	690	653	451	397	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFYVE26	116.131579	0	0	0	0	0	154	1799	2255	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTS9	114.368421	151	184	0	0	0	0	1315	2170	157	0	0	0	0	0	0	0	277	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMBOX1	114.368421	151	184	0	0	0	0	1315	2170	157	0	0	0	0	0	0	0	277	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENND2C	113.552632	241	285	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1086	1242	419	874	0	0	0	0	0	0	0	0	0	0	0	0	0
CLTC	113.552632	436	663	276	0	0	0	376	360	183	0	95	0	0	0	0	0	92	0	0	304	0	0	301	437	224	198	0	0	0	0	0	0	0	0	0	0	0	370	0
TNRC6A	113.315789	285	193	0	0	0	0	0	0	0	0	634	947	1087	524	334	0	0	0	0	0	0	0	0	0	0	0	131	171	0	0	0	0	0	0	0	0	0	0	0
ZBTB4	113.157895	532	498	260	0	0	0	486	807	186	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	444	332	148	228	0	0	0	0	0	208	0
POLR2A	113.157895	532	498	260	0	0	0	486	807	186	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	444	332	148	228	0	0	0	0	0	208	0
MDM2	112.947368	232	478	192	0	0	0	871	592	0	0	0	0	0	0	0	0	0	0	0	159	0	0	509	442	311	506	0	0	0	0	0	0	0	0	0	0	0	0	0
HEXA	112.842105	1164	1532	620	83	196	118	0	0	0	0	0	0	0	0	0	65	298	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBA	112.710526	238	135	172	0	0	229	341	383	249	0	137	326	259	0	0	127	345	197	264	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	255	0
RAPH1	112.263158	269	363	0	0	0	0	0	0	0	0	219	322	427	167	0	0	0	0	0	0	0	0	512	730	336	443	224	254	0	0	0	0	0	0	0	0	0	0	0
TOB1	111.500000	482	552	310	0	0	0	555	1276	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	269	0	90	0	0	247	136	0	112	0	0	0	0	0	0	0
ISG20	111.210526	110	250	0	0	0	0	535	196	243	0	0	0	0	0	0	0	0	0	0	290	0	0	685	717	236	279	0	0	294	93	0	0	0	0	0	0	0	298	0
RAPGEF6	110.947368	367	368	164	0	0	0	1318	1093	550	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0
SYNCRIP	110.815789	253	253	236	0	0	0	156	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	1086	402	704	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXNB2	110.657895	0	0	0	0	0	0	916	1371	0	0	0	0	0	0	0	0	0	0	0	0	377	457	244	592	108	140	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB37	109.684211	233	474	0	0	0	0	750	1011	0	0	0	0	0	0	0	0	0	0	0	116	0	0	182	543	124	284	0	0	196	139	0	116	0	0	0	0	0	0	0
TMEM229B	109.447368	266	336	0	0	0	0	1156	1577	88	0	0	195	0	0	0	0	0	0	0	442	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMVK	109.184211	220	417	277	0	0	0	1272	1152	131	0	0	0	0	0	0	0	0	0	0	307	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0
ZNF70	109.078947	224	166	0	0	0	0	1873	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-3B	108.842105	766	1047	526	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	407	474	105	154	0	0	212	172	0	0	0	0	0	0	0	130	0
C5orf51	107.710526	488	693	383	0	192	0	790	1139	200	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAV3	107.078947	0	0	0	0	342	238	0	0	0	0	704	831	891	537	334	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0
S100A2	107.000000	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	744	857	337	569	162	213	94	0	0	0	0	0	0	0	311	511	0
SLC3A2	106.868421	357	416	202	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	466	560	223	274	0	0	515	263	217	132	0	0	0	0	0	0	0
MAP2K3	105.815789	0	0	0	0	0	0	468	653	136	0	0	0	0	0	0	0	0	95	0	196	0	0	392	502	187	254	0	0	168	0	0	0	0	0	0	0	217	753	0
PPP1R14B	105.710526	0	0	0	0	0	0	0	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	1342	543	493	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G7	105.473684	153	180	0	0	0	0	0	0	0	0	678	828	996	542	453	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0
ADPGK	105.289474	533	665	316	0	0	156	163	116	118	0	141	0	0	0	0	110	335	131	118	166	0	0	168	230	0	0	0	0	257	135	0	0	0	0	0	0	0	143	0
NCF1	105.131579	0	0	0	0	0	0	1685	1898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	108	0	0	0	0	0	0	0	0	0
ABCG1	104.500000	165	143	0	0	0	145	238	0	152	0	0	0	0	0	0	0	156	0	0	0	0	0	585	767	403	574	0	0	355	104	0	0	0	0	0	0	0	184	0
STX6	104.447368	259	383	132	0	0	0	178	139	0	0	380	966	903	218	163	0	0	0	0	135	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0
NUF2	103.657895	376	374	169	0	0	0	670	717	350	0	0	0	0	0	0	82	447	97	0	330	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0
DDIT3	103.657895	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	889	534	892	0	0	268	272	0	102	0	0	0	0	0	121	0
H4C8	103.421053	0	0	0	0	137	149	262	175	323	0	0	0	165	0	0	0	0	0	0	318	0	0	180	353	193	281	242	387	273	189	0	0	0	0	0	0	0	303	0
COG3	103.210526	131	207	0	0	423	293	987	1483	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0
CCNL1	102.552632	445	546	373	0	0	0	214	150	436	0	0	0	0	0	0	0	0	0	0	146	0	0	115	352	0	179	0	0	230	69	0	0	0	0	0	0	166	476	0
RTRAF	102.500000	387	623	146	0	417	356	764	1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEA15	101.421053	276	222	93	0	0	0	1259	1826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0
PPP1R18	101.078947	117	130	0	0	169	0	441	691	0	0	0	0	0	0	0	106	74	102	0	0	0	0	623	858	153	377	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX5	101.026316	145	151	0	0	0	0	0	0	0	0	602	1014	1061	502	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRPF1	100.710526	119	223	0	0	0	0	932	1873	0	0	0	0	0	0	0	0	246	0	0	298	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	100.552632	383	451	246	0	0	0	125	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	881	319	537	0	0	0	0	0	0	0	0	0	0	0	192	0
CWC25	100.473684	97	102	0	0	0	0	0	0	318	0	0	0	0	0	0	251	712	286	335	423	0	0	0	184	0	104	0	0	0	0	0	0	0	0	0	0	309	697	0
HSPA1L	100.210526	1644	1606	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	100	0	0	0	0	0	0	0	0	0
HSPA1A	100.210526	1644	1606	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	100	0	0	0	0	0	0	0	0	0
CHAMP1	100.184211	771	779	212	0	0	0	359	333	130	0	0	0	0	0	0	0	0	0	0	124	0	0	168	336	140	307	0	0	0	0	0	0	0	0	0	0	0	148	0
DAPP1	99.894737	0	0	0	0	0	0	872	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	558	291	431	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAD5	99.868421	548	612	242	0	168	0	864	1361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUN1	99.710526	182	294	0	0	168	107	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	637	780	595	635	0	0	0	0	0	0	0	0	0	0	0	263	0
MSL2	99.263158	309	393	165	0	0	0	888	1402	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0
GFOD1	99.236842	138	193	0	0	143	366	154	135	0	0	0	0	0	0	0	0	133	0	0	0	0	0	623	941	222	513	0	0	0	0	0	0	0	0	0	0	0	210	0
ELAVL2	99.000000	81	111	0	0	0	0	0	0	0	0	683	889	910	553	370	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0
SF1	98.789474	463	529	0	0	0	0	1057	1253	170	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0
SDE2	98.605263	277	295	219	0	0	0	91	84	191	0	0	0	0	0	0	131	0	0	0	1059	0	0	332	488	0	275	0	0	129	176	0	0	0	0	0	0	0	0	0
NIBAN3	98.078947	0	0	0	0	0	0	1643	1688	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZZZ3	97.947368	329	515	242	0	0	0	690	1023	606	0	0	0	0	0	0	0	249	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRMT2A	97.921053	0	130	0	0	261	188	1348	1073	190	0	0	0	0	0	0	0	0	0	0	98	0	0	0	210	0	99	0	0	0	0	0	0	0	0	0	0	0	124	0
RANBP1	97.921053	0	130	0	0	261	188	1348	1073	190	0	0	0	0	0	0	0	0	0	0	98	0	0	0	210	0	99	0	0	0	0	0	0	0	0	0	0	0	124	0
RAB4B	97.157895	122	131	0	0	0	0	1412	1774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0
CD72	97.000000	0	0	0	0	0	0	1350	1756	0	0	0	0	0	0	0	0	0	0	0	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
